name,description
faith,"Core trust concept; flagship use case in 1Cor 13:13"
hope,"Expectant trust in future good; flagship use case in 1Cor 13:13"
love,"Self-giving care; flagship use case in 1Cor 13:13"
unbelief,"Refusal or absence of faith; inverse of faith"
doubt,"Wavering or hesitation; partial inverse of faith"
despair,"Loss of hope; inverse of hope"
hatred,"Active enmity or rejection; inverse of love"
righteousness,"Right standing or right conduct; common Pauline concept"
sin,"Failure or transgression; inverse of righteousness"
grace,"Unearned favor; common Pauline concept"
law,"Torah / commandment; Pauline theology keyword (neutral polarity)"
salvation,"Rescue or deliverance; core theological concept"
death,"Cessation of life; common contrast concept"
life,"Vitality / true life; common contrast with death"
spirit,"Pneuma; Pauline theology keyword"
flesh,"Sarx; Pauline contrast with spirit"
truth,"Reality / faithfulness to fact; common concept"
knowledge,"Knowing / acquaintance; common concept"
joy,"Gladness / rejoicing; common concept"
peace,"Wholeness / shalom; common concept"
