concept_name,lemma,language
faith,πίστις,grc
faith,πιστεύω,grc
hope,ἐλπίς,grc
hope,ἐλπίζω,grc
love,ἀγάπη,grc
love,ἀγαπάω,grc
unbelief,ἀπιστία,grc
unbelief,ἀπιστέω,grc
doubt,διακρίνω,grc
doubt,διστάζω,grc
despair,ἐξαπορέω,grc
hatred,μῖσος,grc
hatred,μισέω,grc
righteousness,δικαιοσύνη,grc
righteousness,δίκαιος,grc
sin,ἁμαρτία,grc
sin,ἁμαρτάνω,grc
grace,χάρις,grc
law,νόμος,grc
salvation,σωτηρία,grc
salvation,σῴζω,grc
death,θάνατος,grc
death,ἀποθνῄσκω,grc
life,ζωή,grc
life,ζάω,grc
spirit,πνεῦμα,grc
flesh,σάρξ,grc
truth,ἀλήθεια,grc
knowledge,γνῶσις,grc
knowledge,γινώσκω,grc
joy,χαρά,grc
joy,χαίρω,grc
peace,εἰρήνη,grc
